CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,1,77183.6,3,Loyal / Regular
12347.0,1,7,4310.0,0,Occasional
12348.0,74,4,1797.24,0,Occasional
12349.0,18,1,1757.55,0,Occasional
12350.0,309,1,334.4,1,At-Risk/Dormant
12352.0,35,8,2506.04,0,Occasional
12353.0,203,1,89.0,1,At-Risk/Dormant
12354.0,231,1,1079.4,1,At-Risk/Dormant
12355.0,213,1,459.4,1,At-Risk/Dormant
12356.0,22,3,2811.43,0,Occasional
12357.0,32,1,6207.67,0,Occasional
12358.0,1,2,1168.06,0,Occasional
12359.0,57,4,6310.03,0,Occasional
12360.0,51,3,2662.06,0,Occasional
12361.0,286,1,189.9,1,At-Risk/Dormant
12362.0,2,10,5226.23,0,Occasional
12363.0,109,2,552.0,0,Occasional
12364.0,7,4,1313.1,0,Occasional
12365.0,290,2,641.38,1,At-Risk/Dormant
12367.0,3,1,168.9,0,Occasional
12370.0,50,4,3541.94,0,Occasional
12371.0,44,2,1887.96,0,Occasional
12372.0,71,3,1298.04,0,Occasional
12373.0,310,1,364.6,1,At-Risk/Dormant
12374.0,24,1,742.9300000000001,0,Occasional
12375.0,10,2,457.5,0,Occasional
12377.0,314,2,1628.12,1,At-Risk/Dormant
12378.0,129,1,4008.62,0,Occasional
12379.0,81,2,852.24,0,Occasional
12380.0,21,4,2724.81,0,Occasional
12381.0,4,5,1845.31,0,Occasional
12383.0,184,5,1850.56,1,At-Risk/Dormant
12384.0,28,2,585.27,0,Occasional
12386.0,337,2,401.9,1,At-Risk/Dormant
12388.0,15,6,2780.66,0,Occasional
12390.0,79,1,549.84,0,Occasional
12391.0,21,1,439.66,0,Occasional
12393.0,71,4,1582.6000000000001,0,Occasional
12394.0,63,2,1272.48,0,Occasional
12395.0,18,12,3018.63,0,Occasional
12397.0,35,2,2409.9,0,Occasional
12398.0,45,1,1635.6599999999999,0,Occasional
12399.0,118,4,1108.65,0,Occasional
12401.0,302,1,84.3,1,At-Risk/Dormant
12402.0,322,1,225.6,1,At-Risk/Dormant
12403.0,49,1,427.7,0,Occasional
12405.0,148,1,1710.39,1,At-Risk/Dormant
12406.0,21,2,3415.3,0,Occasional
12407.0,49,5,1708.1200000000001,0,Occasional
12408.0,32,5,2888.55,0,Occasional
12409.0,78,3,11072.67,0,Occasional
12410.0,308,2,693.3299999999999,1,At-Risk/Dormant
12412.0,74,3,1226.88,0,Occasional
12413.0,66,3,758.1,0,Occasional
12414.0,216,3,562.41,1,At-Risk/Dormant
12415.0,23,21,124914.53,2,High-Value/Champions
12417.0,2,9,3649.1,0,Occasional
12418.0,112,1,668.58,0,Occasional
12420.0,63,1,600.39,0,Occasional
12421.0,15,4,807.04,0,Occasional
12422.0,95,3,803.5600000000001,0,Occasional
12423.0,0,8,1859.31,0,Occasional
12424.0,162,2,1760.96,1,At-Risk/Dormant
12425.0,77,1,777.2,0,Occasional
12426.0,194,1,582.73,1,At-Risk/Dormant
12427.0,21,3,825.8,0,Occasional
12428.0,25,9,7956.46,0,Occasional
12429.0,8,4,3750.4,0,Occasional
12430.0,42,1,256.4,0,Occasional
12431.0,35,15,6419.95,3,Loyal / Regular
12432.0,42,5,5059.32,0,Occasional
12433.0,0,7,13375.87,0,Occasional
12434.0,84,2,806.14,0,Occasional
12435.0,79,2,7829.89,0,Occasional
12436.0,99,1,509.01,0,Occasional
12437.0,1,18,4951.41,3,Loyal / Regular
12438.0,13,2,2906.85,0,Occasional
12441.0,366,1,173.55,1,At-Risk/Dormant
12442.0,2,1,172.06,0,Occasional
12444.0,20,5,5005.46,0,Occasional
12445.0,21,1,133.4,0,Occasional
12446.0,57,1,1002.3100000000001,0,Occasional
12447.0,242,1,476.49,1,At-Risk/Dormant
12448.0,43,1,449.45,0,Occasional
12449.0,21,4,4067.29,0,Occasional
12450.0,155,2,197.88,1,At-Risk/Dormant
12451.0,10,5,9035.52,0,Occasional
12452.0,16,2,430.57,0,Occasional
12453.0,133,1,707.09,0,Occasional
12454.0,55,1,3528.34,0,Occasional
12455.0,72,6,2466.86,0,Occasional
12456.0,43,3,3181.04,0,Occasional
12457.0,65,7,2363.23,0,Occasional
12458.0,70,2,947.4,0,Occasional
12461.0,93,2,826.88,0,Occasional
12462.0,18,2,1189.59,0,Occasional
12463.0,52,4,1344.78,0,Occasional
12464.0,9,8,1212.05,0,Occasional
12465.0,16,2,742.1899999999999,0,Occasional
12468.0,187,2,729.5400000000001,1,At-Risk/Dormant
12471.0,1,30,19788.65,3,Loyal / Regular
12472.0,31,7,6572.11,0,Occasional
12473.0,28,5,3928.0499999999997,0,Occasional
12474.0,16,18,7324.09,3,Loyal / Regular
12475.0,53,1,723.38,0,Occasional
12476.0,15,11,6816.42,0,Occasional
12477.0,22,6,13219.74,0,Occasional
12478.0,3,1,680.99,0,Occasional
12479.0,10,1,527.2,0,Occasional
12480.0,27,4,3281.63,0,Occasional
12481.0,22,10,5579.82,0,Occasional
12483.0,16,8,2484.98,0,Occasional
12484.0,32,6,4527.32,0,Occasional
12488.0,9,3,1298.66,0,Occasional
12489.0,335,1,334.93,1,At-Risk/Dormant
12490.0,4,10,5417.93,0,Occasional
12491.0,38,1,460.40000000000003,0,Occasional
12492.0,62,2,263.21000000000004,0,Occasional
12493.0,165,2,433.74,1,At-Risk/Dormant
12494.0,15,7,1246.1000000000001,0,Occasional
12497.0,81,1,1043.1,0,Occasional
12498.0,20,3,403.70000000000005,0,Occasional
12500.0,22,11,4257.82,0,Occasional
12501.0,336,1,2169.39,1,At-Risk/Dormant
12502.0,95,5,3723.87,0,Occasional
12504.0,17,2,482.04999999999995,0,Occasional
12506.0,232,1,73.5,1,At-Risk/Dormant
12507.0,133,3,1304.81,0,Occasional
12508.0,25,2,397.88,0,Occasional
12509.0,283,1,176.5,1,At-Risk/Dormant
12510.0,142,2,982.5699999999999,0,Occasional
12512.0,65,2,132.18,0,Occasional
12513.0,112,1,612.29,0,Occasional
12514.0,266,1,1017.68,1,At-Risk/Dormant
12515.0,352,1,383.7,1,At-Risk/Dormant
12516.0,77,2,1312.06,0,Occasional
12517.0,27,5,2481.6,0,Occasional
12518.0,0,5,2056.89,0,Occasional
12519.0,63,1,330.84,0,Occasional
12520.0,78,5,2634.26,0,Occasional
12521.0,142,1,599.68,1,At-Risk/Dormant
12522.0,38,2,192.72,0,Occasional
12523.0,18,11,1789.77,0,Occasional
12524.0,8,8,4485.72,0,Occasional
12526.0,0,3,1316.66,0,Occasional
12527.0,81,3,348.71000000000004,0,Occasional
12528.0,8,6,1933.48,0,Occasional
12530.0,59,4,1662.28,0,Occasional
12531.0,14,1,125.22,0,Occasional
12532.0,29,1,349.83000000000004,0,Occasional
12534.0,130,1,1089.18,0,Occasional
12535.0,91,2,716.35,0,Occasional
12536.0,42,3,12601.830000000002,0,Occasional
12538.0,28,1,363.95,0,Occasional
12539.0,21,4,5568.35,0,Occasional
12540.0,19,17,13400.24,3,Loyal / Regular
12541.0,29,3,981.18,0,Occasional
12544.0,35,1,372.7,0,Occasional
12545.0,74,2,1000.39,0,Occasional
12546.0,46,2,1161.5,0,Occasional
12547.0,197,2,207.79999999999998,1,At-Risk/Dormant
12548.0,165,1,95.19999999999999,1,At-Risk/Dormant
12550.0,78,1,964.83,0,Occasional
12551.0,357,1,168.0,1,At-Risk/Dormant
12552.0,38,2,437.82,0,Occasional
12553.0,7,10,3692.28,0,Occasional
12556.0,49,2,599.56,0,Occasional
12557.0,15,5,11990.960000000001,0,Occasional
12558.0,7,1,269.96,0,Occasional
12559.0,310,2,561.71,1,At-Risk/Dormant
12560.0,4,3,2134.01,0,Occasional
12561.0,302,1,238.85,1,At-Risk/Dormant
12562.0,7,7,3781.7400000000002,0,Occasional
12564.0,260,1,456.9,1,At-Risk/Dormant
12565.0,288,1,145.92,1,At-Risk/Dormant
12566.0,85,1,351.65,0,Occasional
12567.0,22,10,9401.28,0,Occasional
12569.0,1,32,4124.69,3,Loyal / Regular
12571.0,39,2,519.61,0,Occasional
12572.0,8,2,1020.42,0,Occasional
12573.0,226,1,160.54000000000002,1,At-Risk/Dormant
12574.0,315,1,218.45,1,At-Risk/Dormant
12576.0,35,5,1315.83,0,Occasional
12577.0,34,3,626.6,0,Occasional
12578.0,20,2,2794.51,0,Occasional
12579.0,77,1,440.42,0,Occasional
12580.0,246,1,415.7,1,At-Risk/Dormant
12581.0,39,1,197.71,0,Occasional
12582.0,238,2,511.36,1,At-Risk/Dormant
12583.0,2,15,7281.38,3,Loyal / Regular
12584.0,3,9,2338.15,0,Occasional
12585.0,233,2,2040.1,1,At-Risk/Dormant
12586.0,16,1,196.94000000000003,0,Occasional
12587.0,7,1,144.0,0,Occasional
12588.0,38,1,214.89999999999998,0,Occasional
12589.0,28,2,646.68,0,Occasional
12590.0,210,2,9864.26,1,At-Risk/Dormant
12591.0,316,1,452.84999999999997,1,At-Risk/Dormant
12592.0,91,2,437.6,0,Occasional
12593.0,108,3,418.09999999999997,0,Occasional
12594.0,37,10,3338.2200000000003,0,Occasional
12596.0,50,2,618.27,0,Occasional
12597.0,18,4,3811.22,0,Occasional
12598.0,9,8,3023.08,0,Occasional
12599.0,28,7,1032.58,0,Occasional
12600.0,28,10,2599.04,0,Occasional
12601.0,189,5,577.0600000000001,1,At-Risk/Dormant
12602.0,58,1,153.12,0,Occasional
12603.0,21,1,739.1999999999999,0,Occasional
12604.0,78,2,254.18,0,Occasional
12607.0,59,1,1579.51,0,Occasional
12609.0,77,3,1126.85,0,Occasional
12610.0,22,5,2099.54,0,Occasional
12611.0,51,1,1193.32,0,Occasional
12612.0,73,1,704.0400000000001,0,Occasional
12613.0,56,5,3344.38,0,Occasional
12614.0,277,1,315.6,1,At-Risk/Dormant
12615.0,1,4,2291.19,0,Occasional
12616.0,94,2,713.3,0,Occasional
12617.0,28,1,352.98,0,Occasional
12618.0,21,1,177.31,0,Occasional
12619.0,15,9,3641.24,0,Occasional
12620.0,14,3,1339.41,0,Occasional
12621.0,1,20,13689.67,3,Loyal / Regular
12622.0,231,1,180.1,1,At-Risk/Dormant
12623.0,275,1,305.1,1,At-Risk/Dormant
12624.0,105,2,641.13,0,Occasional
12625.0,211,2,2683.82,1,At-Risk/Dormant
12626.0,22,9,6620.48,0,Occasional
12627.0,10,7,4478.53,0,Occasional
12628.0,3,3,786.46,0,Occasional
12630.0,9,2,1270.88,0,Occasional
12631.0,56,1,640.5,0,Occasional
12633.0,58,4,2163.98,0,Occasional
12635.0,89,2,1689.18,0,Occasional
12637.0,66,8,6002.9,0,Occasional
12638.0,32,1,671.69,0,Occasional
12639.0,238,1,486.1,1,At-Risk/Dormant
12640.0,23,3,1174.58,0,Occasional
12641.0,114,1,185.9,0,Occasional
12642.0,24,3,1013.26,0,Occasional
12643.0,127,6,3344.64,0,Occasional
12644.0,129,1,477.91,0,Occasional
12645.0,33,4,1775.18,0,Occasional
12646.0,4,2,1346.97,0,Occasional
12647.0,21,12,3722.82,0,Occasional
12648.0,154,1,318.05,1,At-Risk/Dormant
12649.0,106,3,623.51,0,Occasional
12650.0,2,1,314.44,0,Occasional
12651.0,334,1,114.0,1,At-Risk/Dormant
